Distance_m,Success_Prob
1,0.9999999997476213
2,0.9999999789204652
3,0.9999998505881099
4,0.9999982465757953
5,0.9999747614579165
6,0.9995595364821537
7,0.9886758776183938
8,0.7992163706500421
9,0.16602955295767657
10,0.002349663010350083
11,9.15745235610501e-09
12,6.467459772435041e-19
13,1.506476167266058e-37
14,2.7258834654402633e-63
15,2.2712345633983203e-113
16,4.837789427344359e-172
17,6.30845727072084e-264
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
